values,attributes
Abbas,volunteer_name
Ahmed,volunteer_name
Akram,volunteer_name
Ali,volunteer_name
Amir,volunteer_name
Asad,volunteer_name
Bashir,volunteer_name
Fahad,volunteer_name
Faisal,volunteer_name
Hassan,volunteer_name
Javed,volunteer_name
Khizer,volunteer_name
Zubair,volunteer_name
peshawar,city_name
lahore,city_name
islamabad,city_name
karachi,city_name
faisalabad,city_name
multan,city_name
quetta,city_name
gujranwala,city_name
artist,volunteer_profession
barber,volunteer_profession
carpenter,volunteer_profession
chef,volunteer_profession
dentist,volunteer_profession
doctor,volunteer_profession
electrician,volunteer_profession
lawyer,volunteer_profession
mechanic,volunteer_profession
nurse,volunteer_profession
painter,volunteer_profession
photographer,volunteer_profession
plumber,volunteer_profession
teacher,volunteer_profession
